Date,Teams_elo,From,To,Team_Full_Name
12-10-2018,1473,12-10-2018,12-10-2018,Guinea
12-10-2018,1617,12-10-2018,12-10-2018,Ivory coast
12-10-2018,1719,12-10-2018,12-10-2018,Japan
12-10-2018,1514,12-10-2018,12-10-2018,Mali
12-10-2018,1312,12-10-2018,12-10-2018,Moldova
12-10-2018,1376,12-10-2018,12-10-2018,Palestine
12-10-2018,1779,12-10-2018,12-10-2018,Korea Republic
12-10-2018,1521,12-10-2018,12-10-2018,Qatar
12-10-2018,1579,12-10-2018,12-10-2018,Saudi Arabia
12-10-2018,1062,12-10-2018,12-10-2018,Singapore
12-10-2018,1375,12-10-2018,12-10-2018,Togo
12-10-2018,708,12-10-2018,12-10-2018,Sri Lanka
12-10-2018,1653,12-10-2018,12-10-2018,Greece
12-10-2018,692,12-10-2018,12-10-2018,Mongolia
12-10-2018,1177,12-10-2018,12-10-2018,Antigua and Barbuda
12-10-2018,1747,12-10-2018,12-10-2018,Ecuadors
12-10-2018,1517,12-10-2018,12-10-2018,Algeria
12-10-2018,1309,12-10-2018,12-10-2018,Angola
12-10-2018,1753,12-10-2018,12-10-2018,Austria
12-10-2018,872,12-10-2018,12-10-2018,Bahamas
12-10-2018,1523,12-10-2018,12-10-2018,Belarus
12-10-2018,2123,12-10-2018,12-10-2018,Brazil
12-10-2018,1330,12-10-2018,12-10-2018,Mauritania
12-10-2018,1651,12-10-2018,12-10-2018,Northern Ireland
12-10-2018,1367,12-10-2018,12-10-2018,Luxembourg
12-10-2018,1881,12-10-2018,12-10-2018,Switzerland
12-10-2018,831,12-10-2018,12-10-2018,Sint Maarten
12-10-2018,652,12-10-2018,12-10-2018,East Timor
12-10-2018,1267,12-10-2018,12-10-2018,Malawi
12-10-2018,1313,12-10-2018,12-10-2018,Tanzania
12-10-2018,1403,12-10-2018,12-10-2018,Benin
12-10-2018,718,12-10-2018,12-10-2018,US Virgin Islands
12-10-2018,1907,12-10-2018,12-10-2018,England
12-10-2018,1852,12-10-2018,12-10-2018,Chile
12-10-2018,1220,12-10-2018,12-10-2018,Tajikistan
12-10-2018,844,12-10-2018,12-10-2018,San Marino
12-10-2018,1575,12-10-2018,12-10-2018,Panama
12-10-2018,1320,12-10-2018,12-10-2018,Central African Republic
12-10-2018,1264,12-10-2018,12-10-2018,Rwanda
12-10-2018,1344,12-10-2018,12-10-2018,Burundi
12-10-2018,1572,12-10-2018,12-10-2018,Hungary
12-10-2018,1045,12-10-2018,12-10-2018,South Sudan
12-10-2018,1642,12-10-2018,12-10-2018,Finland
12-10-2018,1236,12-10-2018,12-10-2018,Eswatini
12-10-2018,939,12-10-2018,12-10-2018,Cayman Islands
12-10-2018,1327,12-10-2018,12-10-2018,Cuba
13-10-2018,1528,13-10-2018,13-10-2018,Oman
13-10-2018,1546,13-10-2018,13-10-2018,Macedonia
13-10-2018,1643,13-10-2018,13-10-2018,Norway
13-10-2018,1718,13-10-2018,13-10-2018,Nigeria
13-10-2018,1939,13-10-2018,13-10-2018,Netherlands
13-10-2018,1060,13-10-2018,13-10-2018,Myanmar
13-10-2018,1284,13-10-2018,13-10-2018,Mozambique
13-10-2018,1723,13-10-2018,13-10-2018,Morocco
13-10-2018,1321,13-10-2018,13-10-2018,Latvia
13-10-2018,1564,13-10-2018,13-10-2018,Burkina Faso
13-10-2018,1532,13-10-2018,13-10-2018,Georgia
13-10-2018,1311,13-10-2018,13-10-2018,Equatorial Guinea
13-10-2018,1476,13-10-2018,13-10-2018,El Salvador
13-10-2018,1548,13-10-2018,13-10-2018,Democratic Republic of Congo
13-10-2018,1518,13-10-2018,13-10-2018,China PR
13-10-2018,1660,13-10-2018,13-10-2018,Bulgaria
13-10-2018,1402,13-10-2018,13-10-2018,Armenia
13-10-2018,1016,13-10-2018,13-10-2018,Puerto Rico
13-10-2018,1716,13-10-2018,13-10-2018,Rep. of Ireland
13-10-2018,1750,13-10-2018,13-10-2018,Senegal
13-10-2018,1942,13-10-2018,13-10-2018,Germany
13-10-2018,1560,13-10-2018,13-10-2018,South Africa
13-10-2018,1379,13-10-2018,13-10-2018,Namibia
13-10-2018,1043,13-10-2018,13-10-2018,Comoros
13-10-2018,1154,13-10-2018,13-10-2018,Liechtenstein
13-10-2018,1336,13-10-2018,13-10-2018,Kazakhstan
13-10-2018,1887,13-10-2018,13-10-2018,Denmark
13-10-2018,1066,13-10-2018,13-10-2018,Andorra
13-10-2018,1379,13-10-2018,13-10-2018,Madagascar
13-10-2018,1130,13-10-2018,13-10-2018,Barbados
13-10-2018,1501,13-10-2018,13-10-2018,Zimbabwe
13-10-2018,1728,13-10-2018,13-10-2018,Slovakia
13-10-2018,1320,13-10-2018,13-10-2018,Botswana
13-10-2018,1416,13-10-2018,13-10-2018,Cyprus
13-10-2018,1106,13-10-2018,13-10-2018,Gibraltar
13-10-2018,1186,13-10-2018,13-10-2018,Philippines
13-10-2018,1450,13-10-2018,13-10-2018,North Korea
13-10-2018,1311,13-10-2018,13-10-2018,Lesotho
13-10-2018,1193,13-10-2018,13-10-2018,Guyana
13-10-2018,1297,13-10-2018,13-10-2018,Niger
13-10-2018,645,13-10-2018,13-10-2018,British Virgin Islands
13-10-2018,960,13-10-2018,13-10-2018,Seychelles
13-10-2018,1708,13-10-2018,13-10-2018,Czech Republic
13-10-2018,1233,13-10-2018,13-10-2018,Sudan
13-10-2018,1444,13-10-2018,13-10-2018,Martinique
13-10-2018,1664,13-10-2018,13-10-2018,Bolivia
13-10-2018,1475,13-10-2018,13-10-2018,Libya
13-10-2018,1214,13-10-2018,13-10-2018,India
13-10-2018,1563,13-10-2018,13-10-2018,Slovenia
13-10-2018,1262,13-10-2018,13-10-2018,Suriname
13-10-2018,1673,13-10-2018,13-10-2018,Tunisia
13-10-2018,746,13-10-2018,13-10-2018,Turks and Caicos Islands
13-10-2018,1427,13-10-2018,13-10-2018,Uganda
13-10-2018,1596,13-10-2018,13-10-2018,Uzbekistan
14-10-2018,1449,14-10-2018,14-10-2018,Kosovo
14-10-2018,1441,14-10-2018,14-10-2018,Zambia
14-10-2018,1532,14-10-2018,14-10-2018,Albania
14-10-2018,974,14-10-2018,14-10-2018,Bonaire
14-10-2018,1274,14-10-2018,14-10-2018,Ethiopia
14-10-2018,1615,14-10-2018,14-10-2018,Montenegro
14-10-2018,1434,14-10-2018,14-10-2018,Trin & Tobago
14-10-2018,570,14-10-2018,14-10-2018,Anguilla
14-10-2018,1204,14-10-2018,14-10-2018,Malta
14-10-2018,838,14-10-2018,14-10-2018,Saint Martin
14-10-2018,1973,14-10-2018,14-10-2018,Portugal
14-10-2018,1712,14-10-2018,14-10-2018,Turkey
14-10-2018,1148,14-10-2018,14-10-2018,Belize
14-10-2018,1555,14-10-2018,14-10-2018,Israel
14-10-2018,1388,14-10-2018,14-10-2018,Kenya
14-10-2018,1303,14-10-2018,14-10-2018,Guinea-Bissau
14-10-2018,1798,14-10-2018,14-10-2018,Serbia
14-10-2018,1345,14-10-2018,14-10-2018,Lithuania
14-10-2018,681,14-10-2018,14-10-2018,Montserrat
14-10-2018,1302,14-10-2018,14-10-2018,Nicaragua
14-10-2018,1751,14-10-2018,14-10-2018,Poland
14-10-2018,1730,14-10-2018,14-10-2018,Romania
14-10-2018,1776,14-10-2018,14-10-2018,Russia
14-10-2018,1682,14-10-2018,14-10-2018,Scotland
14-10-2018,1257,14-10-2018,14-10-2018,Saint Kitts and Nevis
14-10-2018,1398,14-10-2018,14-10-2018,Thailand
14-10-2018,1265,14-10-2018,14-10-2018,Faroe Islands
14-10-2018,1413,14-10-2018,14-10-2018,Azerbaijan
14-10-2018,1566,14-10-2018,14-10-2018,Jamaica
14-10-2018,1884,14-10-2018,14-10-2018,Italy
15-10-2018,1419,15-10-2018,15-10-2018,Kuwait
15-10-2018,1638,15-10-2018,15-10-2018,Northern Ireland
15-10-2018,1369,15-10-2018,15-10-2018,Luxembourg
15-10-2018,1574,15-10-2018,15-10-2018,Saudi Arabia
15-10-2018,1664,15-10-2018,15-10-2018,Finland
15-10-2018,1448,15-10-2018,15-10-2018,Estonia
15-10-2018,1918,15-10-2018,15-10-2018,Croatia
15-10-2018,1795,15-10-2018,15-10-2018,Bosnia and Herzegovina
15-10-2018,1509,15-10-2018,15-10-2018,Belarus
15-10-2018,1326,15-10-2018,15-10-2018,Moldova
15-10-2018,2029,15-10-2018,15-10-2018,Spain
15-10-2018,1562,15-10-2018,15-10-2018,Iran
15-10-2018,842,15-10-2018,15-10-2018,San Marino
15-10-2018,1722,15-10-2018,15-10-2018,Australia
15-10-2018,1896,15-10-2018,15-10-2018,Switzerland
15-10-2018,1631,15-10-2018,15-10-2018,Greece
15-10-2018,1571,15-10-2018,15-10-2018,Hungary
15-10-2018,1676,15-10-2018,15-10-2018,Iceland
15-10-2018,1940,15-10-2018,15-10-2018,England
15-10-2018,1465,15-10-2018,15-10-2018,Jordan
16-10-2018,2077,16-10-2018,02-11-2018,Belgium
16-10-2018,1752,16-10-2018,02-11-2018,Venezuela
16-10-2018,645,16-10-2018,02-11-2018,British Virgin Islands
16-10-2018,1296,16-10-2018,02-11-2018,Angola
16-10-2018,1864,16-10-2018,02-11-2018,Chile
16-10-2018,1274,16-10-2018,02-11-2018,Mozambique
16-10-2018,1680,16-10-2018,02-11-2018,Tunisia
16-10-2018,1467,16-10-2018,02-11-2018,Libya
16-10-2018,1645,16-10-2018,02-11-2018,Bulgaria
16-10-2018,1467,16-10-2018,02-11-2018,Guinea
16-10-2018,1542,16-10-2018,02-11-2018,South Africa
16-10-2018,1428,16-10-2018,02-11-2018,Cyprus
16-10-2018,1263,16-10-2018,02-11-2018,Kyrgyzstan
16-10-2018,1582,16-10-2018,02-11-2018,Panama
16-10-2018,1753,16-10-2018,02-11-2018,Senegal
16-10-2018,1733,16-10-2018,02-11-2018,Slovakia
16-10-2018,1419,16-10-2018,02-11-2018,Cape Verde
16-10-2018,1698,16-10-2018,02-11-2018,Czech Republic
16-10-2018,1895,16-10-2018,02-11-2018,Peru
16-10-2018,1513,16-10-2018,02-11-2018,Qatar
16-10-2018,1500,16-10-2018,02-11-2018,UAE
16-10-2018,1551,16-10-2018,02-11-2018,Democratic Republic of Congo
16-10-2018,1556,16-10-2018,02-11-2018,Burkina Faso
16-10-2018,1496,16-10-2018,02-11-2018,Algeria
16-10-2018,1427,16-10-2018,02-11-2018,Gabon
16-10-2018,1945,16-10-2018,02-11-2018,Netherlands
16-10-2018,1615,16-10-2018,02-11-2018,Cameroon
16-10-2018,1387,16-10-2018,02-11-2018,Congo
16-10-2018,1068,16-10-2018,02-11-2018,Singapore
16-10-2018,1029,16-10-2018,02-11-2018,Dominica
16-10-2018,1587,16-10-2018,02-11-2018,Syria
16-10-2018,1607,16-10-2018,02-11-2018,Ivory coast
16-10-2018,1691,16-10-2018,02-11-2018,Costa Rica
16-10-2018,1704,16-10-2018,02-11-2018,Morocco
16-10-2018,1747,16-10-2018,02-11-2018,Austria
16-10-2018,1534,16-10-2018,02-11-2018,Oman
16-10-2018,1598,16-10-2018,02-11-2018,Egypt
16-10-2018,1935,16-10-2018,02-11-2018,Germany
16-10-2018,1300,16-10-2018,02-11-2018,Equatorial Guinea
16-10-2018,1396,16-10-2018,02-11-2018,Togo
16-10-2018,982,16-10-2018,02-11-2018,Aruba
16-10-2018,1146,16-10-2018,02-11-2018,Saint Lucia
16-10-2018,1180,16-10-2018,02-11-2018,Hong Kong
16-10-2018,1660,16-10-2018,02-11-2018,Bolivia
16-10-2018,1795,16-10-2018,02-11-2018,Wales
16-10-2018,1932,16-10-2018,02-11-2018,Uruguay
16-10-2018,1058,16-10-2018,02-11-2018,Andorra
16-10-2018,717,16-10-2018,02-11-2018,Mongolia
16-10-2018,1556,16-10-2018,02-11-2018,Georgia
16-10-2018,1456,16-10-2018,02-11-2018,Uganda
16-10-2018,1137,16-10-2018,02-11-2018,Liechtenstein
16-10-2018,1057,16-10-2018,02-11-2018,Myanmar
16-10-2018,1504,16-10-2018,02-11-2018,Macedonia
16-10-2018,1444,16-10-2018,02-11-2018,Armenia
16-10-2018,1320,16-10-2018,02-11-2018,Liberia
16-10-2018,1390,16-10-2018,02-11-2018,Madagascar
16-10-2018,1280,16-10-2018,02-11-2018,Malawi
16-10-2018,1060,16-10-2018,02-11-2018,Malaysia
16-10-2018,1444,16-10-2018,02-11-2018,Martinique
16-10-2018,1343,16-10-2018,02-11-2018,Mauritania
16-10-2018,1801,16-10-2018,02-11-2018,Mexico
16-10-2018,1389,16-10-2018,02-11-2018,Namibia
16-10-2018,1290,16-10-2018,02-11-2018,Niger
16-10-2018,1726,16-10-2018,02-11-2018,Nigeria
16-10-2018,1282,16-10-2018,02-11-2018,Lesotho
16-10-2018,1658,16-10-2018,02-11-2018,Norway
16-10-2018,978,16-10-2018,02-11-2018,Seychelles
16-10-2018,1551,16-10-2018,02-11-2018,Slovenia
16-10-2018,1772,16-10-2018,02-11-2018,Korea Republic
16-10-2018,1038,16-10-2018,02-11-2018,South Sudan
16-10-2018,1230,16-10-2018,02-11-2018,Sudan
16-10-2018,1814,16-10-2018,02-11-2018,Sweden
16-10-2018,1346,16-10-2018,02-11-2018,Tanzania
16-10-2018,1804,16-10-2018,02-11-2018,Ukraine
16-10-2018,1755,16-10-2018,02-11-2018,United States
16-10-2018,1604,16-10-2018,02-11-2018,Uzbekistan
16-10-2018,1270,16-10-2018,02-11-2018,Rwanda
16-10-2018,1297,16-10-2018,02-11-2018,Latvia
16-10-2018,730,16-10-2018,02-11-2018,Laos
16-10-2018,1344,16-10-2018,02-11-2018,Kazakhstan
16-10-2018,1404,16-10-2018,02-11-2018,Bahrain
16-10-2018,1510,16-10-2018,02-11-2018,Mali
16-10-2018,1328,16-10-2018,02-11-2018,Botswana
16-10-2018,2130,16-10-2018,02-11-2018,Brazil
16-10-2018,1348,16-10-2018,02-11-2018,Burundi
16-10-2018,796,16-10-2018,02-11-2018,Cambodia
16-10-2018,1537,16-10-2018,02-11-2018,Canada
16-10-2018,1532,16-10-2018,02-11-2018,China PR
16-10-2018,1330,16-10-2018,02-11-2018,Central African Republic
16-10-2018,1961,16-10-2018,02-11-2018,Colombia
16-10-2018,1062,16-10-2018,02-11-2018,Comoros
16-10-2018,1893,16-10-2018,02-11-2018,Denmark
16-10-2018,1741,16-10-2018,02-11-2018,Ecuadors
16-10-2018,1225,16-10-2018,02-11-2018,Eswatini
16-10-2018,2127,16-10-2018,02-11-2018,France
16-10-2018,1272,16-10-2018,02-11-2018,Gambia
16-10-2018,1123,16-10-2018,02-11-2018,Gibraltar
16-10-2018,1225,16-10-2018,02-11-2018,Guadeloupe
16-10-2018,1499,16-10-2018,02-11-2018,Haiti
16-10-2018,1238,16-10-2018,02-11-2018,Indonesia
16-10-2018,1828,16-10-2018,02-11-2018,Iran
16-10-2018,1693,16-10-2018,02-11-2018,Rep. of Ireland
16-10-2018,1732,16-10-2018,02-11-2018,Japan
16-10-2018,1498,16-10-2018,02-11-2018,Zimbabwe
16-10-2018,1424,16-10-2018,02-11-2018,Benin
16-10-2018,1901,16-10-2018,02-11-2018,Argentina
03-11-2018,979,03-11-2018,07-11-2018,Maldives
03-11-2018,1069,03-11-2018,07-11-2018,Malaysia
08-11-2018,785,08-11-2018,08-11-2018,Cambodia
08-11-2018,725,08-11-2018,08-11-2018,Laos
08-11-2018,1080,08-11-2018,08-11-2018,Malaysia
08-11-2018,1290,08-11-2018,08-11-2018,Vietnam
09-11-2018,1399,09-11-2018,10-11-2018,Thailand
09-11-2018,1092,09-11-2018,10-11-2018,Singapore
09-11-2018,1214,09-11-2018,10-11-2018,Indonesia
09-11-2018,651,09-11-2018,10-11-2018,East Timor
11-11-2018,1451,11-11-2018,11-11-2018,North Korea
11-11-2018,716,11-11-2018,11-11-2018,Mongolia
11-11-2018,977,11-11-2018,11-11-2018,Taiwan
11-11-2018,1195,11-11-2018,11-11-2018,Hong Kong
12-11-2018,721,12-11-2018,12-11-2018,Laos
12-11-2018,1064,12-11-2018,12-11-2018,Myanmar
12-11-2018,1084,12-11-2018,12-11-2018,Malaysia
12-11-2018,778,12-11-2018,12-11-2018,Cambodia
13-11-2018,1082,13-11-2018,13-11-2018,Singapore
13-11-2018,981,13-11-2018,13-11-2018,Taiwan
13-11-2018,1196,13-11-2018,13-11-2018,Philippines
13-11-2018,1215,13-11-2018,13-11-2018,Indonesia
13-11-2018,650,13-11-2018,13-11-2018,East Timor
13-11-2018,1438,13-11-2018,13-11-2018,North Korea
13-11-2018,1208,13-11-2018,13-11-2018,Hong Kong
13-11-2018,712,13-11-2018,13-11-2018,Mongolia
14-11-2018,1218,14-11-2018,14-11-2018,New Caledonia
14-11-2018,1532,14-11-2018,14-11-2018,Qatar
14-11-2018,1877,14-11-2018,14-11-2018,Switzerland
14-11-2018,1210,14-11-2018,14-11-2018,Vanuatu
15-11-2018,1798,15-11-2018,15-11-2018,Bosnia and Herzegovina
15-11-2018,1540,15-11-2018,15-11-2018,Georgia
15-11-2018,1939,15-11-2018,15-11-2018,Croatia
15-11-2018,1673,15-11-2018,15-11-2018,Iceland
15-11-2018,1074,15-11-2018,15-11-2018,Andorra
15-11-2018,1744,15-11-2018,15-11-2018,Austria
15-11-2018,2080,15-11-2018,15-11-2018,Belgium
15-11-2018,1770,15-11-2018,15-11-2018,Russia
15-11-2018,1946,15-11-2018,15-11-2018,England
15-11-2018,1941,15-11-2018,15-11-2018,Germany
15-11-2018,1647,15-11-2018,15-11-2018,Greece
15-11-2018,1330,15-11-2018,15-11-2018,Moldova
15-11-2018,1712,15-11-2018,15-11-2018,Czech Republic
15-11-2018,2008,15-11-2018,15-11-2018,Spain
15-11-2018,1536,15-11-2018,15-11-2018,Belarus
15-11-2018,1600,15-11-2018,15-11-2018,Uzbekistan
15-11-2018,1305,15-11-2018,15-11-2018,Latvia
15-11-2018,1494,15-11-2018,15-11-2018,Guatemala
15-11-2018,1642,15-11-2018,15-11-2018,Northern Ireland
15-11-2018,1433,15-11-2018,15-11-2018,Trin & Tobago
15-11-2018,1435,15-11-2018,15-11-2018,Estonia
15-11-2018,1765,15-11-2018,15-11-2018,Ecuadors
15-11-2018,838,15-11-2018,15-11-2018,San Marino
15-11-2018,1648,15-11-2018,15-11-2018,Finland
15-11-2018,1584,15-11-2018,15-11-2018,Hungary
15-11-2018,1829,15-11-2018,15-11-2018,Iran
15-11-2018,1689,15-11-2018,15-11-2018,Rep. of Ireland
15-11-2018,1569,15-11-2018,15-11-2018,Israel
15-11-2018,1749,15-11-2018,15-11-2018,United States
15-11-2018,1464,15-11-2018,15-11-2018,Lebanon
15-11-2018,1342,15-11-2018,15-11-2018,Luxembourg
15-11-2018,1871,15-11-2018,15-11-2018,Peru
15-11-2018,1737,15-11-2018,15-11-2018,Poland
15-11-2018,1336,15-11-2018,15-11-2018,Kazakhstan
16-11-2018,1600,16-11-2018,16-11-2018,Cameroon
16-11-2018,1515,16-11-2018,16-11-2018,Macedonia
16-11-2018,1076,16-11-2018,16-11-2018,Myanmar
16-11-2018,1754,16-11-2018,16-11-2018,Venezuela
16-11-2018,708,16-11-2018,16-11-2018,Mongolia
16-11-2018,1575,16-11-2018,16-11-2018,Panama
16-11-2018,829,16-11-2018,16-11-2018,Saint Martin
16-11-2018,1661,16-11-2018,16-11-2018,Tunisia
16-11-2018,1639,16-11-2018,16-11-2018,Bulgaria
16-11-2018,1708,16-11-2018,16-11-2018,Costa Rica
16-11-2018,1927,16-11-2018,16-11-2018,Uruguay
16-11-2018,1008,16-11-2018,16-11-2018,Puerto Rico
16-11-2018,732,16-11-2018,16-11-2018,Montserrat
16-11-2018,1794,16-11-2018,16-11-2018,Mexico
16-11-2018,1460,16-11-2018,16-11-2018,Armenia
16-11-2018,1445,16-11-2018,16-11-2018,El Salvador
16-11-2018,938,16-11-2018,16-11-2018,Pakistan
16-11-2018,1908,16-11-2018,16-11-2018,Argentina
16-11-2018,1775,16-11-2018,16-11-2018,Wales
16-11-2018,1299,16-11-2018,16-11-2018,Vietnam
16-11-2018,1502,16-11-2018,16-11-2018,UAE
16-11-2018,974,16-11-2018,16-11-2018,Taiwan
16-11-2018,1022,16-11-2018,16-11-2018,South Sudan
16-11-2018,1551,16-11-2018,16-11-2018,Slovenia
16-11-2018,1765,16-11-2018,16-11-2018,Slovakia
16-11-2018,1575,16-11-2018,16-11-2018,Saudi Arabia
16-11-2018,1377,16-11-2018,16-11-2018,Palestine
16-11-2018,1533,16-11-2018,16-11-2018,Oman
16-11-2018,1982,16-11-2018,16-11-2018,Netherlands
16-11-2018,1719,16-11-2018,16-11-2018,Morocco
16-11-2018,2090,16-11-2018,16-11-2018,France
16-11-2018,1126,16-11-2018,16-11-2018,Liechtenstein
16-11-2018,1730,16-11-2018,16-11-2018,Japan
16-11-2018,1212,16-11-2018,16-11-2018,Hong Kong
16-11-2018,1595,16-11-2018,16-11-2018,Honduras
16-11-2018,1070,16-11-2018,16-11-2018,Grenada
16-11-2018,1107,16-11-2018,16-11-2018,Gibraltar
16-11-2018,1617,16-11-2018,16-11-2018,Egypt
16-11-2018,1434,16-11-2018,16-11-2018,Cyprus
16-11-2018,1847,16-11-2018,16-11-2018,Chile
16-11-2018,2135,16-11-2018,16-11-2018,Brazil
16-11-2018,1183,16-11-2018,16-11-2018,Bermuda
16-11-2018,1156,16-11-2018,16-11-2018,Belize
16-11-2018,931,16-11-2018,16-11-2018,Aruba
16-11-2018,709,16-11-2018,16-11-2018,Laos
16-11-2018,1588,16-11-2018,16-11-2018,Syria
16-11-2018,1193,16-11-2018,16-11-2018,Yemen
16-11-2018,1075,16-11-2018,16-11-2018,Malaysia
16-11-2018,1913,16-11-2018,16-11-2018,Denmark
16-11-2018,1658,16-11-2018,16-11-2018,Bolivia
16-11-2018,1364,16-11-2018,16-11-2018,Burundi
16-11-2018,1658,16-11-2018,16-11-2018,Norway
16-11-2018,1772,16-11-2018,16-11-2018,Ukraine
16-11-2018,1445,16-11-2018,16-11-2018,North Korea
17-11-2018,1468,17-11-2018,17-11-2018,Uganda
17-11-2018,1140,17-11-2018,17-11-2018,Saint Lucia
17-11-2018,1253,17-11-2018,17-11-2018,Malawi
17-11-2018,1265,17-11-2018,17-11-2018,Dominican Republic
17-11-2018,1758,17-11-2018,17-11-2018,Senegal
17-11-2018,1531,17-11-2018,17-11-2018,Mali
17-11-2018,1390,17-11-2018,17-11-2018,Benin
17-11-2018,1974,17-11-2018,17-11-2018,Portugal
17-11-2018,1258,17-11-2018,17-11-2018,Suriname
17-11-2018,1212,17-11-2018,17-11-2018,India
17-11-2018,1473,17-11-2018,17-11-2018,Kosovo
17-11-2018,1313,17-11-2018,17-11-2018,Guinea-Bissau
17-11-2018,1521,17-11-2018,17-11-2018,Haiti
17-11-2018,648,17-11-2018,17-11-2018,East Timor
17-11-2018,1341,17-11-2018,17-11-2018,Lithuania
17-11-2018,1608,17-11-2018,17-11-2018,Montenegro
17-11-2018,1476,17-11-2018,17-11-2018,Libya
17-11-2018,1721,17-11-2018,17-11-2018,Nigeria
17-11-2018,1205,17-11-2018,17-11-2018,Indonesia
17-11-2018,1834,17-11-2018,17-11-2018,Sweden
17-11-2018,1253,17-11-2018,17-11-2018,Faroe Islands
17-11-2018,1773,17-11-2018,17-11-2018,Korea Republic
17-11-2018,1714,17-11-2018,17-11-2018,Scotland
17-11-2018,1734,17-11-2018,17-11-2018,Romania
17-11-2018,1207,17-11-2018,17-11-2018,Vanuatu
17-11-2018,1379,17-11-2018,17-11-2018,Namibia
17-11-2018,1180,17-11-2018,17-11-2018,Malta
17-11-2018,1467,17-11-2018,17-11-2018,Jordan
17-11-2018,1570,17-11-2018,17-11-2018,Jamaica
17-11-2018,1883,17-11-2018,17-11-2018,Italy
17-11-2018,1306,17-11-2018,17-11-2018,Gambia
17-11-2018,1406,17-11-2018,17-11-2018,Gabon
17-11-2018,1295,17-11-2018,17-11-2018,Equatorial Guinea
17-11-2018,1692,17-11-2018,17-11-2018,Turkey
17-11-2018,1339,17-11-2018,17-11-2018,Cuba
17-11-2018,945,17-11-2018,17-11-2018,Cayman Islands
17-11-2018,1425,17-11-2018,17-11-2018,Azerbaijan
17-11-2018,1721,17-11-2018,17-11-2018,Australia
17-11-2018,1500,17-11-2018,17-11-2018,Albania
17-11-2018,1409,17-11-2018,17-11-2018,Thailand
17-11-2018,1547,17-11-2018,17-11-2018,South Africa
17-11-2018,969,17-11-2018,17-11-2018,Seychelles
17-11-2018,1407,17-11-2018,17-11-2018,Cape Verde
17-11-2018,1805,17-11-2018,17-11-2018,Serbia
17-11-2018,1089,17-11-2018,17-11-2018,Comoros
17-11-2018,1221,17-11-2018,17-11-2018,New Caledonia
17-11-2018,1280,17-11-2018,17-11-2018,Nicaragua
17-11-2018,1198,17-11-2018,17-11-2018,Philippines
18-11-2018,1300,18-11-2018,18-11-2018,Lesotho
18-11-2018,586,18-11-2018,18-11-2018,Anguilla
18-11-2018,1527,18-11-2018,18-11-2018,Burkina Faso
18-11-2018,1298,18-11-2018,18-11-2018,Mozambique
18-11-2018,1325,18-11-2018,18-11-2018,Angola
18-11-2018,1268,18-11-2018,18-11-2018,Rwanda
18-11-2018,836,18-11-2018,18-11-2018,San Marino
18-11-2018,2011,18-11-2018,18-11-2018,Spain
18-11-2018,1247,18-11-2018,18-11-2018,Saint Kitts and Nevis
18-11-2018,1922,18-11-2018,18-11-2018,Switzerland
18-11-2018,1361,18-11-2018,18-11-2018,Togo
18-11-2018,779,18-11-2018,18-11-2018,Turks and Caicos Islands
18-11-2018,1611,18-11-2018,18-11-2018,Hungary
18-11-2018,1469,18-11-2018,18-11-2018,Guinea
18-11-2018,1613,18-11-2018,18-11-2018,Greece
18-11-2018,1262,18-11-2018,18-11-2018,Ethiopia
18-11-2018,1203,18-11-2018,18-11-2018,Eswatini
18-11-2018,1960,18-11-2018,18-11-2018,England
18-11-2018,1391,18-11-2018,18-11-2018,Congo
18-11-2018,1133,18-11-2018,18-11-2018,Barbados
18-11-2018,856,18-11-2018,18-11-2018,Bahamas
18-11-2018,715,18-11-2018,18-11-2018,US Virgin Islands
18-11-2018,1547,18-11-2018,18-11-2018,Democratic Republic of Congo
18-11-2018,1622,18-11-2018,18-11-2018,Northern Ireland
18-11-2018,1312,18-11-2018,18-11-2018,Niger
18-11-2018,1341,18-11-2018,18-11-2018,Madagascar
18-11-2018,1357,18-11-2018,18-11-2018,Mauritania
18-11-2018,1325,18-11-2018,18-11-2018,Moldova
18-11-2018,1079,18-11-2018,18-11-2018,Saint Vincent and the Grenadines
18-11-2018,1531,18-11-2018,18-11-2018,Algeria
18-11-2018,2035,18-11-2018,18-11-2018,Belgium
18-11-2018,1547,18-11-2018,18-11-2018,Canada
18-11-2018,1795,18-11-2018,18-11-2018,Bosnia and Herzegovina
18-11-2018,1538,18-11-2018,18-11-2018,Belarus
18-11-2018,1925,18-11-2018,18-11-2018,Croatia
18-11-2018,1332,18-11-2018,18-11-2018,Central African Republic
18-11-2018,1344,18-11-2018,18-11-2018,Liberia
18-11-2018,1626,18-11-2018,18-11-2018,Ghana
18-11-2018,1469,18-11-2018,18-11-2018,Estonia
18-11-2018,1605,18-11-2018,18-11-2018,Ivory coast
18-11-2018,1621,18-11-2018,18-11-2018,Finland
18-11-2018,1417,18-11-2018,18-11-2018,Zambia
18-11-2018,1328,18-11-2018,18-11-2018,Tanzania
18-11-2018,1474,18-11-2018,18-11-2018,Zimbabwe
18-11-2018,1279,18-11-2018,18-11-2018,Sudan
18-11-2018,1314,18-11-2018,18-11-2018,Botswana
18-11-2018,1347,18-11-2018,18-11-2018,Luxembourg
18-11-2018,1764,18-11-2018,18-11-2018,Austria
19-11-2018,1081,19-11-2018,19-11-2018,Andorra
